Name,Title,Review,Rating,Date,Type,Details,Review_Length,positive,negative,neutral,compound
sravani gupta,Amazing Product,"The Apple iPhone 14 is overall a great phone for anyone who is looking for high speed, excellent camera quality, and a day-long of battery life. The squared-off sides are more comfortable to hold in your hand in my opinion. I purchased this one and so far my experience has been wonderful. Something I like about this phone is its fast speed along with the different options the camera gives you. I wouldn't say the iPhone 14 has a better camera than the 13, rather I think they are more similar and there wasn't a dramatic improvement. The battery life is something that I wish was a little longer. It last about an hour or two more than the average iPhone 13, but does charge faster. I have been able to receive about a 50% charge in 30 minutes. Another great feature of this phone is the painless eSIM setup. Being able to set up the SIM card virtually and not a physical transfer on your phone makes carrying over carriers from phone to phone much easier. battery lasts as long as the iPhone 13. As you may remember, it was much better than the iPhone 12. The iPhone 14 is a smooth, responsive phone and great for high-quality gaming or photo and video editing. Overall I think this is a great phone to purchase if you are looking for a durable and sustainable upgrade and I do think it is worth the extra hundred dollars from the 13.",5.0 out of 5 stars,2023-07-26 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,1338,0.188,0.007,0.805,0.9933
DEEPAK POMENDKAR,Good Quality,Good Product,4.0 out of 5 stars,2024-08-05 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,12,0.744,0,0.256,0.4404
Amazon Customer,Nice,Nice,5.0 out of 5 stars,2024-09-04 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,4,1,0,0,0.4215
Jahnavi Sajja,Good,Amazon products are always good 👍 👌 ☺️ 😊 😌 🤗 👍,5.0 out of 5 stars,2024-08-23 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,46,0.535,0,0.465,0.5574
@Abhi,Product is good but Amazon mobile return facility is not good,"During the return, Agent refused to take as he is saying that the IEMI data is not matching. I asked the currier boy to show IEMI which I have filled and same he didn’t show it to match. Also, no where in the order summary it is being recorded as return failed and extra amount taken from customer.It appears only lucrative offer in return is being given to attract the customer only.",3.0 out of 5 stars,2024-08-14 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,384,0.033,0.101,0.866,-0.6369
AP,Good,Very good,5.0 out of 5 stars,2024-08-10 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,9,0.762,0,0.238,0.4927
Gowtham,Performance and ease of use,Main advantage is ease of use and performance. Phone never slows down even after your storage is almost fullDisadvantage is too much restrictions on media sharing and storage.,4.0 out of 5 stars,2024-05-30 00:00:00,Apple iPhone 14,Colour: YellowSize: 128 GB,175,0.226,0,0.774,0.743
Amazon Customer,"Product looks good, battery and picture quality is good. Touch screen is not smooth.","Positive:Product looks good, batter life is good, picture quality is good.Negative:Lighting charger adapter is not included in the package.Touch screen is not smooth as in other iPhone",4.0 out of 5 stars,2024-05-21 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,184,0.188,0,0.812,0.7003
Amirzad,Sam good,Battery backup No good long time 🤔,4.0 out of 5 stars,2024-05-11 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,34,0.319,0.242,0.44,0.1779
Akshat Sharma,All that glitters is not gold,It’s a good phone but don’t think that it’s perfect. It has its own problems.,4.0 out of 5 stars,2024-04-21 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,77,0.325,0.165,0.51,0.5346
Unique,Performance is good but battery performance,I am using it from 18 January 2024 only in 2 and half months battery health is 99% showing😣,4.0 out of 5 stars,2024-04-07 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,91,0,0,1,0
Chetana K K,Nice phone,Iphone always high level,5.0 out of 5 stars,2024-06-19 00:00:00,Apple iPhone 14,No Details,24,0,0,1,0
Ranjith,Apple product. That's all,Go with the flow. If you want to show off buy it. If you are an existing android customer never buy an apple product untill and unless u have security trust issues.,4.0 out of 5 stars,2024-03-28 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,164,0.2,0,0.8,0.7184
MWO SK SINGH,Review,Security features,4.0 out of 5 stars,2024-04-15 00:00:00,Apple iPhone 14,No Details,17,0.706,0,0.294,0.34
Sagar,As it is supposed to be.,Great Product.,5.0 out of 5 stars,2024-06-11 00:00:00,Apple iPhone 14,Colour: RedSize: 128 GB,14,0.804,0,0.196,0.6249
Jayakrishnan,"It's visually appealing and upgraded device, surpassing my old iPhone 12","Pros:  Good Looking (4/5): The Blue color variant adds to the aesthetic appeal, making the iPhone 14 an eye-catching device.  Better than iPhone 12 (4/5): The iPhone 14 exhibits improvements over the iPhone 12, contributing to an enhanced user experience.  Good Camera (4/5): The camera performance is commendable, capturing high-quality images and enhancing the overall photography experience.In summary, the Apple iPhone 14 in Blue is a solid choice, offering a sleek design, improved features compared to the iPhone 12, and a reliable camera for capturing memorable moments.",4.0 out of 5 stars,2023-12-17 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,577,0.168,0,0.832,0.9287
seeramsetti mahesh,good quality value for money,when android users are using the i phone it can take more time to understand it,5.0 out of 5 stars,2024-05-25 00:00:00,Apple iPhone 14,Colour: RedSize: 128 GB,79,0,0,1,0
Nabi ullah khan,Awesome phone,I gifted this to my wife she was really happy to see this phone and the blue colour is Amazing,4.0 out of 5 stars,2024-03-18 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,94,0.314,0,0.686,0.8313
Kunaal,Buttery smooth,"Using iphone 14 for over a week now, its just buttery smooth as expected the display is so amazing and the animations are done so precisely that you will actually forget that this has 60hz display. In term of camera quality back camera is really good, I don’t like the selfie camera that much but i am not a selfie person so its fine with me. Battery is also good will give you upto 6-7hr backup",4.0 out of 5 stars,2023-12-12 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,395,0.17,0.018,0.812,0.9075
SBh,As usual the great iPhone,"Everything is perfect. Doesn’t matter if it’s having 60Hz refresh rate. Very reliable battery, camera, iOS.",5.0 out of 5 stars,2024-05-26 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,107,0.255,0,0.745,0.5859
Panwar Traders and construction,Nice camera,Camera I like. Appearance also good. Value for money product,5.0 out of 5 stars,2024-05-23 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,60,0.565,0,0.435,0.7783
AKHILESH SINHA,Best,Best,5.0 out of 5 stars,2024-05-29 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,4,1,0,0,0.6369
Vishal,Nice one,Best,5.0 out of 5 stars,2024-05-29 00:00:00,Apple iPhone 14,No Details,4,1,0,0,0.6369
Vishnu prakash,Super,Original,5.0 out of 5 stars,2024-05-20 00:00:00,Apple iPhone 14,No Details,8,1,0,0,0.3182
Placeholder,Satisfied with the product received but has some negative opinion,I am completely happy with the product however the things which was unsatisfied is that it took more than a week to deliver even after paying in full before delivery and also the bill which was provided after opening was halfy printed as it appears to be half cutted may be printing error the main parts of billing information was not present I hope the next order will avoid any kind of error in future …,5.0 out of 5 stars,2024-02-08 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,405,0.048,0.154,0.798,-0.7726
Prabhat Srivastava,Performance,Average phone,4.0 out of 5 stars,2024-02-27 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,13,0,0,1,0
Vaishnavi Nelabotla,Loved it ❤️,Buying an iphone with my first salary is the dream i manifested it and it happened. I’m writing this review after 8 months. Camera quality everything is good. There is nothing to say about iphone the best always ❤️. But what i observed is after IOS 17 battery started to drain like for 2 days one percent is dropping after that it stopped.Now my battery health is 93%. This is the only concern with iphone remaining all aspects it is worth the money.,5.0 out of 5 stars,2024-04-09 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,450,0.136,0,0.864,0.8641
Gaurav Arora,happy with the phone but unhappy with Amazon and vendor,unhappy because no cost emi still charging gst + interest which was useless decision to buy the phone from the Amazon.,4.0 out of 5 stars,2024-01-14 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,118,0.171,0.284,0.545,-0.4767
Praveengouda P.,Amazing is the only word - shifted from Android to Iphone,"This review is for the people who want to shift from Android to Apple as I did .I used Xiaomi K20 pro as my last device .I have been an mi phone for last 10 years and was happy with the value for money offered from the mi and also the camera was top notch for the prices .Fast forward to 2023 , I brought apple 14  , I always wanted to buy iPhone but due to battery back up and high costs I kept postponing.And believe me iPhone is not a smart phone to be compared with any android phones , this is in league of its own , so no comparison of orange to apple for sure.Silky smooth ui, touch screen , camera , sound , display , battery back up : Simply superb.You may face little difficulties in shifting to iPhone but little patience is all you need and you will love it for sure",5.0 out of 5 stars,2023-08-21 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,778,0.096,0.057,0.847,0.6489
Vivek,It's an iPhone,"So far , very slow to setup.Heating a lot during setup.Rest is as usual.",3.0 out of 5 stars,2024-04-26 00:00:00,Apple iPhone 14,No Details,72,0,0,1,0
Rahul yadav,Great buy,"I don’t recommend to buy , iPhone because prices keeps on dropping buy this in sale only to get maximum benefit, I bought it for 70k now it is 53 k so loss…🥹",4.0 out of 5 stars,2023-12-27 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,157,0.169,0,0.831,0.6705
Purshottam Das Anand,Nice apple iPhone 14,,5.0 out of 5 stars,2024-05-01 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,1,0,0,0,0
Sai,Satisfactory purchase,Go for it,4.0 out of 5 stars,2024-02-13 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,9,0,0,1,0
Sam,A great phone for minimalist like me.,"I prefer to have some privacy in life, I think apple suite is bit more private than google. It respects user privacy if you are not using third party apps. My options were stock android without google (something like lineageOS) or iPhone. I tried lineageOS but there was always something breaking in my phone. It couldn't become my daily driver; I wish most of the things in android were open source like maps and some other proprietary google apps. In the current state, I was left with choosing iPhone. For long, I had debated with myself about buying iPhone or not, I was using OnePlus 7T for last 3.5 years. The phone stopped getting updates and had many bugs. The software changed a lot, I hated it. All these OEM betraying consumers made me switch to iPhone in the end. I can't trust any other brand to have the consistency like apple has. That's my take in the phone market. I wish there was a consistent bloat free android brand with a great camera.",5.0 out of 5 stars,2023-06-27 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,957,0.098,0.13,0.772,-0.627
Placeholder,Review after 1 years,1) Display - 4/52) durability - 3/53) Battery -2/54) iphone11 > iphone6 > iPhone14As we are addicted to apple we are using iPhone else no reason to buy this mobile,3.0 out of 5 stars,2024-04-06 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,163,0,0.081,0.919,-0.296
AKASH VERMA,Apple’s best phone,Liked the colour most.,5.0 out of 5 stars,2024-04-26 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,22,0.483,0,0.517,0.4215
Koutuhal p.,Battery,Battery backup not goodFinger print sensor needed,4.0 out of 5 stars,2024-01-31 00:00:00,Apple iPhone 14,No Details,49,0,0,1,0
Lalneo,Amaze me,First time iPhone user like me amazed by iPhone 14. Its battery to camera and security settings are amazing. Go for iPhone 14 than other model. Prize and features …,5.0 out of 5 stars,2024-04-28 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,164,0.388,0,0.612,0.9349
Shatrughan Budhauliya,Best,Safely delivered,5.0 out of 5 stars,2024-04-25 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,16,0.762,0,0.238,0.4939
Gauravraj,The feel of an iphone in your hands is Surreal..!😍,"I have switched from Android to IPhone 14 (but i am not making my older phone an orphan, as i will still be using it!). But believe me.. Though iPhones are over premium smartphones, still, an iPhone is an iPhone. You can't resist using it.Phone is awesome, refresh rate is awesome and most important, camera... is Amazing..! One thing I really miss is fingerprint scanner. And the audio jack..(as i am not airpods friendly person). Silent slider is super!! E-sim is not new but still creative. I liked it.Coming to accessibility, for first few days or a couple of week, you will feel uncomfortable and inconvenience while finding few settings and applications as you are addicted to Android. Don't panic, be calm and use 'google' baba or youtube 'didi' to find ways to get particular settings yoh are searching for in iphone. There are ton's of video's on it. AND, don't be shy or ashamed of searching these things on google as no one is perfect or know everything beforehand.",5.0 out of 5 stars,2023-05-10 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,976,0.187,0.105,0.708,0.9678
kavoori adithya,Heating problem,1 hrs use krne pe bahut heat hota h charging me lgane pe v heat hota h,3.0 out of 5 stars,2024-04-13 00:00:00,Apple iPhone 14,No Details,70,0,0,1,0
Shubh,"It’s Apple after all, but don’t buy from Amazon","Excellent product. Have been using Apple for 8 years now.Amazon Review-Don’t buy from AmazonWanted to write down as I regretted every second of this purchasing experience. Pathetic delivery experience. Amazon took orders more that they could handle and the delivery associates cannot keep up. The system needs more transparency. If it was going to take time that could be mentioned and particular slot of 3-4 hours could be given instead of wasting 2 full days of my time. The whole system is either designed in a stupid way, or a fraudulent way, but not both.A product worth 70k was roaring on the streets and no one knew where. Customer support telling it’s with delivery associate, delivery associates telling they have not been assigned this consignment. Customer support just keeping the calls on indefinite hold as they had no other answers.",5.0 out of 5 stars,2023-07-18 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,847,0.071,0.118,0.811,-0.6248
Anamitra Ghosh,If you don’t want to wait for iphone 15 then buy it,"Pros:1. Powerful A15 Bionic chip2. Beautiful OLED display3. Excellent camera quality4. Long-lasting battery life5. Secure Face ID authentication6. Up to 5 years of software updatesCons:1. Expensive2. No major design changes from the iPhone 133. No headphone jack4. No expandable storageOverall, the iPhone 14 is a great phone, but it's not a major upgrade over the iPhone 13. If you're looking for a new iPhone, the iPhone 14 is a good option, but you may want to consider waiting for the iPhone 15, which is expected to have more significant changes.",4.0 out of 5 stars,2023-06-03 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,551,0.193,0.049,0.758,0.92
YSM,Good,Packing was good . It’s an iPhone so works well .,4.0 out of 5 stars,2024-01-05 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,49,0.43,0,0.57,0.6461
Marvellous,Iphone 14,Good product,5.0 out of 5 stars,2024-04-14 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,12,0.744,0,0.256,0.4404
Placeholder,Value for money,Good,4.0 out of 5 stars,2024-01-17 00:00:00,Apple iPhone 14,No Details,4,1,0,0,0.4404
Krishna tiwari,Nice,Good phone9,5.0 out of 5 stars,2024-04-11 00:00:00,Apple iPhone 14,No Details,11,0.744,0,0.256,0.4404
Aryan Maini,Pretty good phone,"The color is really good first of all and the Performance is obviously more than enough for my usage, Camera quality and everything else is pretty good except the battery life because that’s alright and not the best as i have experienced better to be honest but it does provide battery life for a whole day till now and from what i’ve heard it will maintain to do so till it reaches approximately 95% battery health. I personally feel like this model is really value for money in comparison to other models of iPhone 14 series since iPhones with higher storage are generally heavily overpriced.",5.0 out of 5 stars,2023-10-06 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,594,0.178,0.019,0.803,0.9348
Cajetan Dcruz,Trust,As usual an iPhone as it has to be,5.0 out of 5 stars,2024-03-30 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,34,0,0,1,0
PROSENJIT MONDAL,Good camera,6 people found this helpful,4.0 out of 5 stars,2024-01-17 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,27,0.52,0,0.48,0.5023
Sunil,Elegance of iPhone,It’s really awesome when I switched from Android to iPhone then I realised why iPhone creates cult among its user !,5.0 out of 5 stars,2024-03-07 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,115,0.298,0,0.702,0.7773
Amazon Customer,Excellent product,Excellent product,5.0 out of 5 stars,2024-04-04 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,17,0.787,0,0.213,0.5719
Amazon Customer,Heating Issue Sometimes,Faced the Heating issue many times . Rest is Good . Checked on Apple site Product is Original .,4.0 out of 5 stars,2023-12-02 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,95,0.271,0,0.729,0.6369
Hariharan Balakrishnan,Worthy gift for better half,Bought the 256gb iPhone product RED. The color is striking and the phone is performing well. Best gift to better half for 10th anniversary!,5.0 out of 5 stars,2024-03-22 00:00:00,Apple iPhone 14,No Details,139,0.383,0,0.617,0.908
Amazon Customer,"Pathetic exchange, Average phone",Planned for Amazon exchange and thought I will try iPhone again after the iPhone 2 disaster.Amazon exchange turned out to be a faux. The delivery guy seemed to be pre determined in not accepting my old Samsung phone. He wanted me to remove the almost perfect tempered glass to check the screen. He entered incorrect IMEI number of my phone in his mobile said that the system shows wrong IMEI and cannot do exchange. He wanted to pay the difference or return delivery. Ended up paying extra amount and replace my tempered glass.I phone looks great from outside and UI is flawless.Pros:Super smooth touchGreat looks from outsideNo junk apps preinstalledGood anti tracking in Safari browserSafe message appWindows and other corporate apps work betterCons:Average photosPoor selfiesGo back function is on the top of the screen which is a painPoor file managementNo option to add memory card and iCloud upgrade comes with a priceFile transfer by Bluetooth never worksOverall an average experience,3.0 out of 5 stars,2022-11-22 00:00:00,Apple iPhone 14,No Details,991,0.087,0.053,0.86,0.693
shankarnarayan,Average phone,Delivery experience was very good and i received genuine product.Phone review:The phone is nothing extra ordinary. The features of the phone are as par compared to basic mid-range budget phones from andriod.As far as camera goes the dynamic range of is it very good without any much color correction.Rest every thing is just average.You should go for this only if your an apple user fan or you always wanted an iphone.,4.0 out of 5 stars,2023-09-16 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,418,0.146,0,0.854,0.883
Good quality,Good,Good,4.0 out of 5 stars,2024-01-14 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,4,1,0,0,0.4404
Rahul Kumar,Love my first iPhone!,"This is my first ever iPhone and before ordering I was very particular about it's colour and size. I wanted the midnight variant in the regular size. It looks so sleek in person. Yes it is glossy and a finger-print magnet but I'll have to bear with it coz I simply like black phones. It's working perfectly. Also, i would like to add, the packing of such an expensive device was not up to the mark. I have seen how well Apple packs the box and ships to its customers in videos of people from other countries. The Amazon seller just put it in a large plastic bag. Though the box was unharmed when it reached me, I could still notice a little dented corners on the box, which could have been avoided if they had packed the box in a bigger carton with foams.",5.0 out of 5 stars,2023-05-21 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,755,0.136,0.021,0.844,0.9464
Siddharth,Strong built,"No need to buy covers/case/ lens protectionTrust the brand, if you are paying so much and going for Apple. Strong scratch proof built.Unless you are a child and keeps dropping phones, there will be no scratch on phone.Camera is very good. No need to go for higher megapixels in Apple unless you are influencer or blogger or YouTuber. If you have MacBook, go for 128 else go for at least 256.Battery is good. Lasts more than 24 hours with1. 15 hrs of Internet use (WhatsApp, mails, LinkedIn, drive, etc)2. 2/3 hrs of video playback2. 2/3 hrs of earphone use",5.0 out of 5 stars,2023-07-23 00:00:00,Apple iPhone 14,Colour: RedSize: 128 GB,556,0.089,0.061,0.85,0.6232
Deepanshu kansal,Satisfied,Happy with the i phone 14,5.0 out of 5 stars,2024-03-19 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,25,0.481,0,0.519,0.5719
Karan,Iphone 13 and 14 are not same. 14 is better,"Packaging from amazon not upto the mark. Flipkart does extra packaging to protect the product for rs 50-60 extra. This iphone was sent from amazon like a normal parcel, no bubble wrap even.If you like a bigger phone please buy iPhone 14plus. Iphone 14 regular one is small and handy 6.1 inches. Battery backup is amazing and also charging is fast. The last time i used iPhone was iphone 6 which had very bad battery backup and also slow charging.Also iphone 13 and 14 are not same.14 has more ram, better battery backup and 4k video recording which 13 does not have.So 14 would be a better buyAlso you will get one year more of updates.I got this phone in sale for 66k on march 2023. Can be more cheaper during September-october.",5.0 out of 5 stars,2023-03-18 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,729,0.161,0.041,0.798,0.9378
shashikant,Good,Very good product,5.0 out of 5 stars,2024-03-19 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,17,0.615,0,0.385,0.4927
praful,Same as iphone 13 but slightly display and camera upgrade,G r e a t p h o n e t o u s e . T h a n k s,4.0 out of 5 stars,2024-08-17 00:00:00,Apple iPhone 14,No Details,43,0,0,0,0
Santhosh K.U,i Phone is always Excellent,Using from 5s to 7...Now this 14 is Superb ...unmatchable..,5.0 out of 5 stars,2024-03-08 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,59,0.313,0,0.687,0.6249
Karn,Power packed product,"The Apple iPhone 14 (128 GB) (Starlight) is the most recent addition to the iPhone series, and it comes with a slew of exciting features that are sure to please its users. The increased storage capacity, which now stands at 128 GB, is one of the most significant improvements over its predecessor, providing ample space for storing photos, videos, and other important data.The Starlight color option is also visually appealing, with its soft, silvery hue lending a sleek and elegant appearance to the phone. The 6.1-inch Super Retina XDR display on the phone is a visual treat, providing vivid and clear images whether you're browsing social media, watching videos, or playing games.The iPhone 14's powerful A18 chip, which delivers fast and efficient performance, is another standout feature.",5.0 out of 5 stars,2023-05-10 00:00:00,Apple iPhone 14,No Details,793,0.247,0,0.753,0.985
SNEHA AGARWAL,Superb,Superb phone,5.0 out of 5 stars,2024-03-21 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,12,0.804,0,0.196,0.6249
shibanimukherjee,Loved with the colour,After using 4months the reviewPreviously I have heard lot of rumours about the iPhone not to buy on sale but when I bought this it was completely game changer for me. Specially the camera quality and Siri does half of my work. I am happy with the purchase. Thank you Amazon for serving the best.,5.0 out of 5 stars,2023-12-15 00:00:00,Apple iPhone 14,No Details,295,0.252,0,0.748,0.9528
Return to refund,Dimag,Dimag,5.0 out of 5 stars,2024-04-06 00:00:00,Apple iPhone 14,No Details,5,0,0,1,0
Saikrishna,Awesome phone!!,Likes:1. The mobile is simply superb after years of using android device I have switched to IPHONE to be precise the performance is butter smooth2. The cinematic camera is just awesome3. The look is simple and cool4. Face unlock is best among the mobiles.5. Multitasking is superb.Dislike:1. The first day itself the phone got hanged to home screen alert I have to hard reboot and fortunately there was solution to overcome. I was little bit worried on that when I saw that.2. Front camera is not so great as per Iphone brand and standard.3. Control center is not customizable and it's very limited to few apps.4. Clear all feature is not there for opened features as such android.Overall it's good phone. I have got it in a good deal along with the exchange offer.,5.0 out of 5 stars,2022-12-22 00:00:00,Apple iPhone 14,No Details,765,0.143,0.065,0.791,0.9108
RAMNEET KAUR,Worth the purchase,Enjoying the product to the fullest. Since its an apple product so accuracy is at par. I bought red color and got many compliments as it stand out and the glass effect makes it shiny and more beautiful. Battery life is good. Once charges till 100% it stays on 100% for 2 hours which is amazing. Speed is awesome and there is no issue of getting hang as i have been playing pubg on this phone. Overall worth the purchase so happy with the product. Go for it,5.0 out of 5 stars,2023-08-16 00:00:00,Apple iPhone 14,No Details,456,0.274,0.04,0.686,0.9782
Harsha n.,Android to Apple Transition - Not a smooth experience,"Always feels good to hold this masterpiece. This looks premium not just because of its branding, it has everything which makes it feel premium. However, despite all the looks and finish, the transition from Android to Apple is not very smooth and you may constantly lack certain features that can make life easy.Overall good performance🔥Great camera quality 🌆Fast A15 Bionic performance ⚡Impressive Action mode video 🎥⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",5.0 out of 5 stars,2023-10-18 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,429,0.168,0.03,0.802,0.8879
SURAJ,A nice purchase,"Using it as a daily driver.Have been an android users for the past 7 yrs, wanted to try something different in terms of OS. Had used windows also,This thing has grown upon me. It’s been just 20 days of the purchase and now I don’t feel switching back to android.The best part is the battery life. I can see a noticeable difference between Android and iPhone . Also daily app usage experience is great as of now.Not a fan of any particular product. I you love android , then go for android or if you like iOS go for iPhone",5.0 out of 5 stars,2023-06-05 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,521,0.167,0,0.833,0.9538
shahid,APPLE I PHONE 14,good quality. decent battery.  good camera .of course over priced but u pay for the brand .quality performance .no hanging . smooth simple.interface,4.0 out of 5 stars,2023-10-08 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,148,0.154,0.174,0.672,-0.128
Pranabjyoti Dey,Runs like a charm,"At first i was hesitant to buy this or the samsung s23, but this turned out to be a better one, as its performance in very good and the elegant and simplistic design of this is simply fantastic",4.0 out of 5 stars,2023-09-23 00:00:00,Apple iPhone 14,No Details,193,0.346,0.03,0.624,0.9564
Pratim Prajapati elite,superb,superb phone with good display and battery life. nice body,4.0 out of 5 stars,2023-11-23 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,58,0.583,0,0.417,0.8689
Surajit,Superb product,This is one of the finest product I have purchase. Amazon is just superb with their service. I has exchange with my smartphone they in fact not check my phone is their any damage or not simply exchange with my phone without a single question. Love u Amazon. Love u apple.,5.0 out of 5 stars,2023-11-28 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,271,0.131,0.173,0.696,-0.5324
Shantanu K,Perfect,"After using XR , this one is best",5.0 out of 5 stars,2024-03-01 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,33,0.412,0,0.588,0.6369
Vivek,not fully satisfied,"I have been using android for a long time and this is my first iphone (not because i wanted to) but because of my professional needs.apart from trying to learn to ride a new pony i am bit disappointed esp with the screen size. although it says 6.1"" it is much smaller than my OnePlus 6T which is also 6.1"", which is just a perfect size for me. Had I known I would have gone for 14 plus which is advertised as 6.4""Apart from that the hardware is smooth and camera is decent.no fingerprint scanner but uses faceID",3.0 out of 5 stars,2023-09-02 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,511,0.052,0.043,0.905,0.2263
Amazon Customer,paisa barbad...! best to buy an android phone and save money.,Phone ki quality good h but itna jyada cost me bekar h.,2.0 out of 5 stars,2024-06-12 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,55,0.163,0,0.837,0.2382
kartheek,Features not working,Adaptive brightness not working from day 1 and also cover removed bedire delivery,2.0 out of 5 stars,2024-06-20 00:00:00,Apple iPhone 14,No Details,81,0.191,0,0.809,0.3818
Jawahar Prabhu,Cable is not working after 3 months,I bought this in july 16 and now my cable is not working,4.0 out of 5 stars,2023-10-10 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,56,0,0,1,0
Sandip roy,Pathetic delivery by amazon took 7 days to deliver,Product is fine and working condition but it took 7 days to deliver...... very pathetic from amazon..... it is very hard to wait after buying such an expansive product though at the time of placing order it was shown 2 days delivery..... Coming to the product apple name itself is known for eligant and classy product . Phone is very fast smooth like butter ....amazing experience after switching from laggish Android to smoothish ios... Battery very powerful camera is awesome processor is super fast ...display is crisp clear all high end graphic games run smoothly and hassle free....,3.0 out of 5 stars,2023-07-22 00:00:00,Apple iPhone 14,Colour: MidnightSize: 128 GB,587,0.227,0.062,0.711,0.9679
Mahima kaur,Powerful Phone💫,"I am writing my review after 2 months of usage. It's a great phone and works best in apple environment.There is only one drawback is battery, it's not that bad i almost charge my phone after 48 hours but when it is used for heavy purpose, battery drains quickly. Everything else is great. 👍",5.0 out of 5 stars,2023-09-29 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,290,0.22,0,0.78,0.914
Amazon Customer,Excellent Phone,iPhone 14 I like. Initially I want to buy iPhone 14 plus. Price difference is 10k. But iPhone 14 is best. Even has smaller screen than iPhone 14 plus but it’s ok. 6.1 inch screen is very fit in hands. iPhone 14 is best who are switching from android to iPhone.,5.0 out of 5 stars,2023-10-07 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,260,0.328,0,0.672,0.9682
Azad,I love iPhone,Best,5.0 out of 5 stars,2024-04-02 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,4,1,0,0,0.6369
Rifat Mehraj,Go for it,Camera is wow,5.0 out of 5 stars,2024-02-24 00:00:00,Apple iPhone 14,Colour: BlueSize: 128 GB,13,0.655,0,0.345,0.5859
Placeholder,iPhone 14,Good Phone,5.0 out of 5 stars,2024-02-26 00:00:00,Apple iPhone 14,Colour: PurpleSize: 128 GB,10,0.744,0,0.256,0.4404
